Start,Finish,Steps (count)
25-Nov-2015 00:00,26-Nov-2015 00:00,7397.0
26-Nov-2015 00:00,27-Nov-2015 00:00,8088.0
27-Nov-2015 00:00,28-Nov-2015 00:00,2835.0
28-Nov-2015 00:00,29-Nov-2015 00:00,169.0
29-Nov-2015 00:00,30-Nov-2015 00:00,2029.0
30-Nov-2015 00:00,01-Dec-2015 00:00,2267.0
01-Dec-2015 00:00,02-Dec-2015 00:00,6210.0
02-Dec-2015 00:00,03-Dec-2015 00:00,5631.0
03-Dec-2015 00:00,04-Dec-2015 00:00,6473.0
04-Dec-2015 00:00,05-Dec-2015 00:00,6748.0
05-Dec-2015 00:00,06-Dec-2015 00:00,4095.0
06-Dec-2015 00:00,07-Dec-2015 00:00,879.0
07-Dec-2015 00:00,08-Dec-2015 00:00,8732.0
08-Dec-2015 00:00,09-Dec-2015 00:00,7412.0
09-Dec-2015 00:00,10-Dec-2015 00:00,10457.0
10-Dec-2015 00:00,11-Dec-2015 00:00,7145.0
11-Dec-2015 00:00,12-Dec-2015 00:00,11442.0
12-Dec-2015 00:00,13-Dec-2015 00:00,5224.0
13-Dec-2015 00:00,14-Dec-2015 00:00,6452.0
14-Dec-2015 00:00,15-Dec-2015 00:00,7712.0
15-Dec-2015 00:00,16-Dec-2015 00:00,631.0
16-Dec-2015 00:00,17-Dec-2015 00:00,5295.0
17-Dec-2015 00:00,18-Dec-2015 00:00,4933.0
18-Dec-2015 00:00,19-Dec-2015 00:00,5093.86677571114
19-Dec-2015 00:00,20-Dec-2015 00:00,12045.1332242889
20-Dec-2015 00:00,21-Dec-2015 00:00,1018.0
21-Dec-2015 00:00,22-Dec-2015 00:00,5553.0
22-Dec-2015 00:00,23-Dec-2015 00:00,4715.0
23-Dec-2015 00:00,24-Dec-2015 00:00,6480.0
24-Dec-2015 00:00,25-Dec-2015 00:00,2085.0
25-Dec-2015 00:00,26-Dec-2015 00:00,598.0
26-Dec-2015 00:00,27-Dec-2015 00:00,1734.0
27-Dec-2015 00:00,28-Dec-2015 00:00,2694.0
28-Dec-2015 00:00,29-Dec-2015 00:00,3689.0
29-Dec-2015 00:00,30-Dec-2015 00:00,1710.0
30-Dec-2015 00:00,31-Dec-2015 00:00,2450.0
31-Dec-2015 00:00,01-Jan-2016 00:00,2806.0
